"","Symbol","Low","Open","Price","Volume","High","Change","Date"
"1","GUARANTY",5.8,5.8,5.65,0,5.65,-0.15,"2/26/2003"
"2","GUARANTY",5.91,5.91,5.7,0,5.7,-0.21,"2/25/2003"
"3","GUARANTY",6.16,6.16,5.99,0,5.99,-0.17,"2/24/2003"
"4","GUARANTY",6.36,6.36,6.3,0,6.3,-0.06,"2/21/2003"
"5","GUARANTY",6.57,6.57,6.55,0,6.55,-0.02,"2/19/2003"
"6","GUARANTY",6.58,6.58,6.6,0,6.6,0.02,"2/18/2003"
"7","GUARANTY",6.54,6.54,6.51,0,6.51,-0.03,"2/17/2003"
"8","GUARANTY",5.95,5.95,5.95,0,5.95,0,"3/17/2003"
"9","GUARANTY",6,6,6,0,6,0,"3/14/2003"
"10","GUARANTY",6.17,6.17,6.2,0,6.2,0.03,"3/13/2003"
"11","GUARANTY",6.32,6.32,6.28,0,6.28,-0.04,"3/11/2003"
"12","GUARANTY",6.33,6.33,6.39,0,6.39,0.06,"3/10/2003"
"13","GUARANTY",6.37,6.37,6.39,0,6.39,0.02,"3/7/2003"
"14","GUARANTY",6.44,6.44,6.48,0,6.48,0.04,"3/6/2003"
"15","GUARANTY",6.39,6.39,6.41,0,6.41,0.02,"3/5/2003"
"16","GUARANTY",6.29,6.29,6.31,0,6.31,0.02,"3/4/2003"
"17","GUARANTY",5.84,5.84,6.03,0,6.03,0.19,"2/28/2003"
"18","GUARANTY",6.03,6.03,6.24,0,6.24,0.21,"4/1/2003"
"19","GUARANTY",5.94,5.94,5.95,0,5.95,0.01,"3/31/2003"
"20","GUARANTY",6,6,5.96,0,5.96,-0.04,"3/27/2003"
"21","GUARANTY",6.01,6.01,6,0,6,-0.01,"3/26/2003"
"22","GUARANTY",6.17,6.17,6.25,0,6.25,0.08,"3/25/2003"
"23","GUARANTY",6.1,6.1,6.1,0,6.1,0,"3/24/2003"
"24","GUARANTY",6.09,6.09,6.08,0,6.08,-0.01,"3/21/2003"
"25","GUARANTY",6.07,6.07,6.03,0,6.03,-0.04,"3/20/2003"
"26","GUARANTY",6.13,6.13,6.08,0,6.08,-0.05,"3/19/2003"
"27","GUARANTY",6.07,6.07,6.2,0,6.2,0.13,"3/18/2003"
"28","GUARANTY",6.44,6.44,6.5,0,6.5,0.06,"4/15/2003"
"29","GUARANTY",6.39,6.39,6.35,0,6.35,-0.04,"4/14/2003"
"30","GUARANTY",6.46,6.46,6.31,0,6.31,-0.15,"4/11/2003"
"31","GUARANTY",6.73,6.73,6.61,0,6.61,-0.12,"4/10/2003"
"32","GUARANTY",6.58,6.58,6.79,0,6.79,0.21,"4/9/2003"
"33","GUARANTY",6.35,6.35,6.54,0,6.54,0.19,"4/8/2003"
"34","GUARANTY",6.3,6.3,6.39,0,6.39,0.09,"4/7/2003"
"35","GUARANTY",6.21,6.21,6.3,0,6.3,0.09,"4/4/2003"
"36","GUARANTY",6.34,6.34,6.3,0,6.3,-0.04,"4/3/2003"
"37","GUARANTY",6.26,6.26,6.49,0,6.49,0.23,"4/2/2003"
"38","GUARANTY",6.9,6.9,6.9,0,6.9,0,"5/2/2003"
"39","GUARANTY",6.91,6.91,6.98,0,6.98,0.07,"4/30/2003"
"40","GUARANTY",6.89,6.89,6.9,0,6.9,0.01,"4/29/2003"
"41","GUARANTY",6.81,6.81,6.82,0,6.82,0.01,"4/28/2003"
"42","GUARANTY",6.55,6.55,6.5,0,6.5,-0.05,"4/25/2003"
"43","GUARANTY",6.34,6.34,6.4,0,6.4,0.06,"4/24/2003"
"44","GUARANTY",6.37,6.37,6.32,0,6.32,-0.05,"4/23/2003"
"45","GUARANTY",6.34,6.34,6.44,0,6.44,0.1,"4/22/2003"
"46","GUARANTY",6.36,6.36,6.38,0,6.38,0.02,"4/17/2003"
"47","GUARANTY",6.42,6.42,6.38,0,6.38,-0.04,"4/16/2003"
"48","GUARANTY",4.97,4.97,4.98,0,4.98,0.01,"5/19/2003"
"49","GUARANTY",4.98,4.98,5,0,5,0.02,"5/16/2003"
"50","GUARANTY",5.12,5.12,5,0,5,-0.12,"5/15/2003"
"51","GUARANTY",5.15,5.15,5.15,0,5.15,0,"5/14/2003"
"52","GUARANTY",6.58,6.58,6.53,0,6.53,-0.05,"5/12/2003"
"53","GUARANTY",6.67,6.67,6.52,0,6.52,-0.15,"5/9/2003"
"54","GUARANTY",6.82,6.82,6.79,0,6.79,-0.03,"5/8/2003"
"55","GUARANTY",6.84,6.84,6.86,0,6.86,0.02,"5/7/2003"
"56","GUARANTY",6.78,6.78,6.8,0,6.8,0.02,"5/6/2003"
"57","GUARANTY",6.78,6.78,6.85,0,6.85,0.07,"5/5/2003"
"58","GUARANTY",5.32,5.32,5.39,0,5.39,0.07,"6/3/2003"
"59","GUARANTY",5.29,5.29,5.36,0,5.36,0.07,"6/2/2003"
"60","GUARANTY",5.2,5.2,5.21,0,5.21,0.01,"5/30/2003"
"61","GUARANTY",5.24,5.24,5.21,0,5.21,-0.03,"5/28/2003"
"62","GUARANTY",5.21,5.21,5.26,0,5.26,0.05,"5/27/2003"
"63","GUARANTY",5.06,5.06,5.13,0,5.13,0.07,"5/26/2003"
"64","GUARANTY",5.1,5.1,5.1,0,5.1,0,"5/23/2003"
"65","GUARANTY",5.01,5.01,5.1,0,5.1,0.09,"5/22/2003"
"66","GUARANTY",5.11,5.11,5.03,0,5.03,-0.08,"5/21/2003"
"67","GUARANTY",5.01,5.01,5.21,0,5.21,0.2,"5/20/2003"
"68","GUARANTY",5.16,5.16,5.1,0,5.1,-0.06,"6/17/2003"
"69","GUARANTY",5.26,5.26,5.3,0,5.3,0.04,"6/16/2003"
"70","GUARANTY",5.23,5.23,5.2,0,5.2,-0.03,"6/13/2003"
"71","GUARANTY",5.34,5.34,5.3,0,5.3,-0.04,"6/12/2003"
"72","GUARANTY",5.34,5.34,5.25,0,5.25,-0.09,"6/11/2003"
"73","GUARANTY",5.22,5.22,5.24,0,5.24,0.02,"6/10/2003"
"74","GUARANTY",5.26,5.26,5.21,0,5.21,-0.05,"6/9/2003"
"75","GUARANTY",5.29,5.29,5.31,0,5.31,0.02,"6/6/2003"
"76","GUARANTY",5.21,5.21,5.2,0,5.2,-0.01,"6/5/2003"
"77","GUARANTY",5.3,5.3,5.2,0,5.2,-0.1,"6/4/2003"
"78","GUARANTY",5.12,5.12,5.15,0,5.15,0.03,"7/1/2003"
"79","GUARANTY",5.19,5.19,5.08,0,5.08,-0.11,"6/30/2003"
"80","GUARANTY",5.1,5.1,5.1,0,5.1,0,"6/27/2003"
"81","GUARANTY",5.05,5.05,5,0,5,-0.05,"6/26/2003"
"82","GUARANTY",5.07,5.07,5.03,0,5.03,-0.04,"6/25/2003"
"83","GUARANTY",5.17,5.17,5.2,0,5.2,0.03,"6/24/2003"
"84","GUARANTY",5.19,5.19,5.19,0,5.19,0,"6/23/2003"
