date,prime_lending_rate,91_day_tbill
1961 January,.,.
1961 February,.,.
1961 March,.,.
1961 April,.,.
1961 May,6.5,.
1961 June,6.5,.
1961 July,6.5,.
1961 August,8,.
1961 September,8,.
1961 October,8,.
1961 November,8,.
1961 December,8,.
1962 January,8,.
1962 February,8,.
1962 March,8,.
1962 April,7.5,.
1962 May,7,.
1962 June,7,.
1962 July,7,.
1962 August,7,.
1962 September,7,.
1962 October,7,.
1962 November,7,.
1962 December,7,.
1963 January,7,.
1963 February,7,.
1963 March,7,.
1963 April,7,.
1963 May,7,.
1963 June,7,.
1963 July,7,.
1963 August,7,.
1963 September,7,.
1963 October,7,.
1963 November,7,.
1963 December,7,.
1964 January,7,.
1964 February,7,.
1964 March,7,.
1964 April,7,.
1964 May,7,.
1964 June,7,.
1964 July,7,.
1964 August,7,.
1964 September,7,.
1964 October,7,.
1964 November,7,.
1964 December,7.5,.
1965 January,7.5,.
1965 February,7.5,.
1965 March,7.5,.
1965 April,7.5,.
1965 May,7.5,.
1965 June,7.5,.
1965 July,7.5,.
1965 August,7.5,.
1965 September,7.5,.
1965 October,7.5,.
1965 November,7.5,.
1965 December,7.5,.
1966 January,7.5,.
1966 February,7.5,.
1966 March,7.5,.
1966 April,7.5,.
1966 May,7.5,.
1966 June,7.5,.
1966 July,7.5,.
1966 August,7.5,.
1966 September,7.5,.
1966 October,7.5,.
1966 November,7.5,.
1966 December,7.5,.
1967 January,7.5,.
1967 February,7.5,.
1967 March,7.5,.
1967 April,7.5,.
1967 May,7.5,.
1967 June,7.5,.
1967 July,7.5,.
1967 August,7.5,.
1967 September,7.5,.
1967 October,7.5,.
1967 November,7.5,.
1967 December,7.5,.
1968 January,7.5,.
1968 February,7.5,.
1968 March,7.5,.
1968 April,7.5,.
1968 May,7.5,.
1968 June,7,.
1968 July,7,.
1968 August,7,.
1968 September,7,.
1968 October,7,.
1968 November,7,.
1968 December,7,.
1969 January,7,.
1969 February,7,.
1969 March,7,.
1969 April,7,.
1969 May,7,.
1969 June,7,.
1969 July,7,.
1969 August,7,.
1969 September,7,.
1969 October,7,.
1969 November,7,.
1969 December,7,.
1970 January,7,.
1970 February,7,.
1970 March,7,.
1970 April,7,.
1970 May,7,.
1970 June,7,.
1970 July,7,.
1970 August,7,.
1970 September,7,.
1970 October,7,.
1970 November,7,.
1970 December,7,.
1971 January,7,.
1971 February,7,.
1971 March,7,.
1971 April,7,.
1971 May,7,.
1971 June,7,.
1971 July,7,.
1971 August,7,.
1971 September,7,.
1971 October,7,.
1971 November,7,.
1971 December,7,.
1972 January,7,.
1972 February,7,.
1972 March,7,.
1972 April,7,.
1972 May,7,.
1972 June,7,.
1972 July,7,.
1972 August,7,.
1972 September,7,.
1972 October,7,.
1972 November,7,.
1972 December,7,.
1973 January,7,.
1973 February,7,.
1973 March,7,.
1973 April,7,.
1973 May,7,.
1973 June,7,.
1973 July,7,.
1973 August,7,.
1973 September,7,.
1973 October,7,.
1973 November,7,.
1973 December,7,.
1974 January,7,.
1974 February,7,.
1974 March,7,.
1974 April,7,.
1974 May,7,.
1974 June,7,.
1974 July,7,.
1974 August,7,.
1974 September,7,.
1974 October,7,.
1974 November,7,.
1974 December,7,.
1975 January,7,.
1975 February,7,.
1975 March,7,.
1975 April,6,.
1975 May,6,.
1975 June,6,.
1975 July,6,.
1975 August,6,.
1975 September,6,.
1975 October,6,.
1975 November,6,.
1975 December,6,.
1976 January,9,.
1976 February,9,.
1976 March,6,.
1976 April,6,.
1976 May,6,.
1976 June,6,.
1976 July,6,.
1976 August,6,.
1976 September,6,.
1976 October,6,.
1976 November,6,.
1976 December,6,.
1977 January,6,.
1977 February,6,.
1977 March,6,.
1977 April,6,.
1977 May,6,.
1977 June,6,.
1977 July,6,.
1977 August,6,.
1977 September,6,.
1977 October,6,.
1977 November,6,.
1977 December,6,.
1978 January,6,.
1978 February,6,.
1978 March,6,.
1978 April,7,.
1978 May,7,.
1978 June,7,.
1978 July,7,.
1978 August,7,.
1978 September,7,.
1978 October,7,.
1978 November,7,.
1978 December,7,.
1979 January,7,.
1979 February,7,.
1979 March,7,.
1979 April,7,.
1979 May,7,.
1979 June,7,.
1979 July,7.5,.
1979 August,7.5,.
1979 September,7.5,.
1979 October,7.5,.
1979 November,7.5,.
1979 December,7.5,.
1980 January,7,.
1980 February,7,.
1980 March,7,.
1980 April,7,.
1980 May,7,.
1980 June,7,.
1980 July,8,.
1980 August,9,.
1980 September,8.5,.
1980 October,8,.
1980 November,9,.
1980 December,7.5,.
1981 January,9,.
1981 February,8.75,.
1981 March,8.75,.
1981 April,8.75,.
